Datetime,Session ID,Purchase Bid (MW),Sell Bid (MW),MCV (MW),Final Scheduled Volume (MW),MCP (Rs/MWh) *
2025-03-01 00:00:00,1.0,4377.5,9517.3,3295.1,3295.1,2889.43
2025-03-01 00:15:00,1.0,3948.6,9455.2,2883.2,2883.2,2850.74
2025-03-01 00:30:00,2.0,4003.8,8838.6,2777.0,2777.0,3095.0
2025-03-01 00:45:00,2.0,3918.5,9063.6,2834.99,2834.99,3000.53
2025-03-01 01:00:00,3.0,4330.2,8843.1,2792.7,2792.7,3230.31
2025-03-01 01:15:00,3.0,4526.9,9164.1,2816.8,2816.8,3360.6
2025-03-01 01:30:00,4.0,4748.6,9177.2,2831.5,2831.5,3401.33
2025-03-01 01:45:00,4.0,4586.3,9151.6,2891.44,2891.44,3336.86
2025-03-01 02:00:00,5.0,4260.7,9286.7,2859.92,2859.92,3230.43
2025-03-01 02:15:00,5.0,4248.5,9396.0,2897.7,2897.7,3195.81
2025-03-01 02:30:00,6.0,4099.4,9605.1,2869.61,2869.61,3000.12
2025-03-01 02:45:00,6.0,4217.1,9788.5,2990.9,2990.9,2987.0
2025-03-01 03:00:00,7.0,4185.1,10465.3,3341.95,3341.95,2800.53
2025-03-01 03:15:00,7.0,4213.3,10580.9,3437.64,3437.64,2720.4
2025-03-01 03:30:00,8.0,4317.8,10832.4,3595.81,3595.81,2650.09
2025-03-01 03:45:00,8.0,4565.1,10965.5,3612.0,3612.0,2889.69
2025-03-01 04:00:00,9.0,4826.2,10317.1,3456.12,3456.12,3130.36
2025-03-01 04:15:00,9.0,4658.7,8977.0,3051.2,3051.2,3441.87
2025-03-01 04:30:00,10.0,4367.7,8457.3,2685.6,2685.6,3360.91
2025-03-01 04:45:00,10.0,4344.9,8014.7,2569.4,2569.4,3360.88
2025-03-01 05:00:00,11.0,5048.7,8651.3,3764.99,3764.99,3410.39
2025-03-01 05:15:00,11.0,5053.4,7705.4,3628.4,3628.4,3470.57
2025-03-01 05:30:00,12.0,4496.5,6489.8,3155.9,3155.9,3470.79
2025-03-01 05:45:00,12.0,4484.9,6034.3,3013.7,3013.7,3500.87
2025-03-01 06:00:00,13.0,5370.2,6019.3,4259.11,4259.11,3759.89
2025-03-01 06:15:00,13.0,5843.8,4822.3,4103.1,4103.1,4505.45
2025-03-01 06:30:00,14.0,6397.5,4849.1,4580.63,4580.63,4627.33
2025-03-01 06:45:00,14.0,6875.1,4451.9,4290.6,4290.6,5505.58
2025-03-01 07:00:00,15.0,7728.3,4230.8,3997.5,3997.5,5813.0
2025-03-01 07:15:00,15.0,7816.5,3902.6,3699.3,3699.3,6510.19
2025-03-01 07:30:00,16.0,7061.1,4492.8,4234.5,4234.5,5800.46
2025-03-01 07:45:00,16.0,6928.3,5340.1,5066.8,5066.8,5000.29
2025-03-01 08:00:00,17.0,7307.6,5415.5,4904.4,4904.4,5500.9
2025-03-01 08:15:00,17.0,7393.2,6683.7,5594.73,5594.73,4999.45
2025-03-01 08:30:00,18.0,7398.1,7235.4,5597.72,5597.72,4499.74
2025-03-01 08:45:00,18.0,7195.5,7930.4,5501.72,5501.72,4143.97
2025-03-01 09:00:00,19.0,5109.2,7684.7,5044.7,5044.7,2640.72
2025-03-01 09:15:00,19.0,5034.2,8004.2,5031.14,5031.14,2019.94
2025-03-01 09:30:00,20.0,6184.5,9143.1,5670.0,5670.0,3000.35
2025-03-01 09:45:00,20.0,5984.2,10364.7,5980.8,5980.8,1519.95
2025-03-01 10:00:00,21.0,7324.8,11107.6,6095.4,6095.4,3000.8
2025-03-01 10:15:00,21.0,7767.8,11507.6,6347.51,6347.51,3111.95
2025-03-01 10:30:00,22.0,8766.9,11977.6,6948.2,6948.2,3500.16
2025-03-01 10:45:00,22.0,8396.0,12386.3,6897.06,6897.06,3139.55
2025-03-01 11:00:00,23.0,7630.5,12008.0,6340.39,6340.39,3229.21
2025-03-01 11:15:00,23.0,7577.8,12676.5,6466.98,6466.98,3111.76
2025-03-01 11:30:00,24.0,7442.9,13720.4,6476.88,6476.88,2944.15
2025-03-01 11:45:00,24.0,7038.8,14444.9,6372.47,6372.47,2590.06
2025-03-01 12:00:00,25.0,6253.5,14389.6,5783.59,5783.59,2349.04
