Datetime,Session ID,Purchase Bid (MW),Sell Bid (MW),MCV (MW),Final Scheduled Volume (MW),MCP (Rs/MWh) *
2025-03-29 00:00:00,1.0,7323.1,5745.5,4569.71,4569.71,4499.96
2025-03-29 00:15:00,1.0,7647.2,5679.3,4692.5,4692.5,5009.78
2025-03-29 00:30:00,2.0,7806.6,5056.8,4638.2,4638.2,5200.49
2025-03-29 00:45:00,2.0,7694.0,5038.2,4554.6,4554.6,5200.12
2025-03-29 01:00:00,3.0,7239.3,5835.0,4413.15,4413.15,4499.38
2025-03-29 01:15:00,3.0,7117.1,5935.5,4338.1,4338.1,4300.74
2025-03-29 01:30:00,4.0,7238.9,5425.4,4296.3,4296.3,4540.67
2025-03-29 01:45:00,4.0,6728.0,5621.3,4098.8,4098.8,4300.44
2025-03-29 02:00:00,5.0,6649.2,5765.6,4090.91,4090.91,4000.73
2025-03-29 02:15:00,5.0,6551.3,5924.3,4110.68,4110.68,4000.22
2025-03-29 02:30:00,6.0,5931.6,6786.8,4339.92,4339.92,3441.64
2025-03-29 02:45:00,6.0,5744.8,6864.0,4243.01,4243.01,3369.8
2025-03-29 03:00:00,7.0,5793.7,7589.9,4481.12,4481.12,3195.69
2025-03-29 03:15:00,7.0,5830.3,7978.8,4590.72,4590.72,3111.56
2025-03-29 03:30:00,8.0,6208.2,8233.9,4851.95,4851.95,3133.1
2025-03-29 03:45:00,8.0,6526.7,8327.2,5114.42,5114.42,3195.67
2025-03-29 04:00:00,9.0,6969.6,8319.7,5254.91,5254.91,3415.83
2025-03-29 04:15:00,9.0,7201.9,8136.7,5398.0,5398.0,3470.38
2025-03-29 04:30:00,10.0,6431.9,8027.3,5089.21,5089.21,3195.8
2025-03-29 04:45:00,10.0,6788.3,7948.7,5200.62,5200.62,3441.54
2025-03-29 05:00:00,11.0,6623.4,7244.9,5158.64,5158.64,3615.16
2025-03-29 05:15:00,11.0,6896.7,6910.2,4965.33,4965.33,3999.27
2025-03-29 05:30:00,12.0,6715.5,6604.1,4642.47,4642.47,4000.81
2025-03-29 05:45:00,12.0,6544.7,6593.9,4618.71,4618.71,3999.9
2025-03-29 06:00:00,13.0,6259.7,6592.6,5032.9,5032.9,4015.39
2025-03-29 06:15:00,13.0,6605.9,5706.6,4968.5,4968.5,4576.16
2025-03-29 06:30:00,14.0,5889.2,5862.7,4488.4,4488.4,4341.05
2025-03-29 06:45:00,14.0,5725.1,6027.6,4331.7,4331.7,4325.87
2025-03-29 07:00:00,15.0,4994.3,7239.6,4449.46,4449.46,3500.73
2025-03-29 07:15:00,15.0,4787.0,8848.3,4477.0,4477.0,3059.55
2025-03-29 07:30:00,16.0,4319.2,9319.5,4047.7,4047.7,2662.05
2025-03-29 07:45:00,16.0,4573.2,10183.6,4305.7,4305.7,2512.97
2025-03-29 08:00:00,17.0,5129.0,10789.3,4954.4,4954.4,2116.97
2025-03-29 08:15:00,17.0,5076.3,11517.2,4901.7,4901.7,2180.45
2025-03-29 08:30:00,18.0,5961.3,12287.6,5755.5,5755.5,2306.64
2025-03-29 08:45:00,18.0,6622.6,13327.5,6416.8,6416.8,2349.17
2025-03-29 09:00:00,19.0,7459.6,12707.3,6268.48,6268.48,3111.28
2025-03-29 09:15:00,19.0,7685.3,12653.5,6403.2,6403.2,3278.0
2025-03-29 09:30:00,20.0,8312.7,13224.7,7047.95,7047.95,3401.44
2025-03-29 09:45:00,20.0,8276.2,14629.3,7479.52,7479.52,3111.05
2025-03-29 10:00:00,21.0,8466.6,16980.4,8273.15,8273.15,2116.92
2025-03-29 10:15:00,21.0,8394.1,17364.3,8200.07,8200.07,2116.62
2025-03-29 10:30:00,22.0,8167.1,17192.2,7660.89,7660.89,2200.87
2025-03-29 10:45:00,22.0,8206.0,17307.0,7472.3,7472.3,2499.75
