Datetime,Session ID,Purchase Bid (MW),Sell Bid (MW),MCV (MW),Final Scheduled Volume (MW),MCP (Rs/MWh) *
2025-03-05 00:00:00,1.0,6028.5,7288.8,3781.2,3781.2,3470.87
2025-03-05 00:15:00,1.0,6311.5,7298.5,3802.8,3802.8,3610.03
2025-03-05 00:30:00,2.0,5834.5,7497.6,3831.6,3831.6,3610.52
2025-03-05 00:45:00,2.0,5859.5,8040.6,4047.02,4047.02,3573.89
2025-03-05 01:00:00,3.0,5688.7,8135.8,3806.62,3806.62,3573.51
2025-03-05 01:15:00,3.0,5900.7,8132.6,3875.1,3875.1,3600.98
2025-03-05 01:30:00,4.0,5543.8,8331.0,3684.11,3684.11,3441.8
2025-03-05 01:45:00,4.0,5565.5,8580.4,3753.72,3753.72,3415.58
2025-03-05 02:00:00,5.0,5534.2,8955.8,3942.35,3942.35,3253.05
2025-03-05 02:15:00,5.0,5572.0,9054.2,3992.44,3992.44,3249.25
2025-03-05 02:30:00,6.0,5720.7,8567.8,3664.32,3664.32,3441.58
2025-03-05 02:45:00,6.0,5708.6,8465.6,3576.3,3576.3,3550.44
2025-03-05 03:00:00,7.0,5363.1,9357.4,3859.44,3859.44,3200.86
2025-03-05 03:15:00,7.0,5365.5,9544.2,3907.87,3907.87,3170.52
2025-03-05 03:30:00,8.0,5708.2,9231.8,4025.98,4025.98,3326.67
2025-03-05 03:45:00,8.0,5486.4,9260.8,4011.19,4011.19,3272.26
2025-03-05 04:00:00,9.0,6102.1,9204.3,4285.74,4285.74,3415.54
2025-03-05 04:15:00,9.0,5929.8,8623.0,4067.23,4067.23,3441.55
2025-03-05 04:30:00,10.0,5374.3,8349.6,3800.91,3800.91,3410.48
2025-03-05 04:45:00,10.0,6085.0,8473.9,4451.0,4451.0,3441.59
2025-03-05 05:00:00,11.0,6340.9,8182.4,4596.2,4596.2,3790.21
2025-03-05 05:15:00,11.0,6736.9,7327.3,4872.2,4872.2,3979.21
2025-03-05 05:30:00,12.0,7134.5,6854.4,5214.15,5214.15,4058.33
2025-03-05 05:45:00,12.0,7496.8,6222.2,5353.6,5353.6,4460.94
2025-03-05 06:00:00,13.0,7132.7,5926.8,5648.07,5648.07,4700.74
2025-03-05 06:15:00,13.0,7455.4,5978.5,5693.71,5693.71,4810.16
2025-03-05 06:30:00,14.0,7382.5,5500.3,4867.1,4867.1,6000.95
2025-03-05 06:45:00,14.0,7922.6,4850.2,4313.21,4313.21,7500.66
2025-03-05 07:00:00,15.0,8904.8,5032.6,4827.94,4827.94,9007.69
2025-03-05 07:15:00,15.0,10478.5,5678.5,5678.5,5678.5,10000.0
2025-03-05 07:30:00,16.0,9252.5,5783.0,5742.49,5742.49,7500.76
