Datetime,Session ID,Purchase Bid (MW),Sell Bid (MW),MCV (MW),Final Scheduled Volume (MW),MCP (Rs/MWh) *
2025-03-21 00:00:00,1.0,6323.2,4368.4,3400.0,3400.0,4000.67
2025-03-21 00:15:00,1.0,6229.7,4170.3,3159.78,3159.78,4265.55
2025-03-21 00:30:00,2.0,6071.0,5239.3,3449.52,3449.52,4012.89
2025-03-21 00:45:00,2.0,6138.8,5592.9,3687.8,3687.8,3802.75
2025-03-21 01:00:00,3.0,6235.6,5194.6,3318.7,3318.7,3999.02
2025-03-21 01:15:00,3.0,6113.9,5251.9,3373.7,3373.7,3710.17
2025-03-21 01:30:00,4.0,5421.1,4918.6,2998.1,2998.1,3710.78
2025-03-21 01:45:00,4.0,5306.7,5170.0,3083.5,3083.5,3610.13
2025-03-21 02:00:00,5.0,5176.9,5010.2,2776.33,2776.33,3615.68
2025-03-21 02:15:00,5.0,5058.9,4905.2,2693.18,2693.18,3693.16
2025-03-21 02:30:00,6.0,4849.3,4901.7,2624.6,2624.6,3693.02
2025-03-21 02:45:00,6.0,4804.1,4969.4,2635.04,2635.04,3615.57
2025-03-21 03:00:00,7.0,4666.3,5121.0,2663.33,2663.33,3573.71
2025-03-21 03:15:00,7.0,4623.6,5212.2,2647.1,2647.1,3522.0
2025-03-21 03:30:00,8.0,4525.8,4933.6,2527.1,2527.1,3550.9
2025-03-21 03:45:00,8.0,4828.6,4975.1,2746.9,2746.9,3610.41
2025-03-21 04:00:00,9.0,4554.5,4876.2,2779.32,2779.32,3615.81
2025-03-21 04:15:00,9.0,4865.8,4858.6,2867.9,2867.9,3796.33
2025-03-21 04:30:00,10.0,5132.8,4893.1,2935.07,2935.07,4012.81
2025-03-21 04:45:00,10.0,6044.7,5246.8,3260.93,3260.93,4012.49
2025-03-21 05:00:00,11.0,6507.1,4528.9,3713.8,3713.8,4450.72
2025-03-21 05:15:00,11.0,6896.9,4311.2,3843.74,3843.74,4749.71
2025-03-21 05:30:00,12.0,6307.2,4554.2,3736.19,3736.19,4499.78
2025-03-21 05:45:00,12.0,6285.0,4952.2,3854.9,3854.9,4012.42
2025-03-21 06:00:00,13.0,6390.7,4826.3,4112.46,4112.46,4700.51
2025-03-21 06:15:00,13.0,6255.7,4453.4,3917.31,3917.31,4800.55
2025-03-21 06:30:00,14.0,6173.7,4596.5,3858.6,3858.6,4577.1
2025-03-21 06:45:00,14.0,6023.5,4537.4,3901.32,3901.32,4796.91
2025-03-21 07:00:00,15.0,5352.7,4845.6,3529.0,3529.0,4576.1
2025-03-21 07:15:00,15.0,4950.5,5016.5,3520.46,3520.46,4056.8
2025-03-21 07:30:00,16.0,4522.1,6419.5,4320.3,4320.3,3000.57
2025-03-21 07:45:00,16.0,4235.7,7608.2,4178.7,4178.7,2249.02
2025-03-21 08:00:00,17.0,3975.3,7865.5,3961.3,3961.3,1829.37
2025-03-21 08:15:00,17.0,4894.7,9056.0,4843.5,4843.5,2400.0
2025-03-21 08:30:00,18.0,6066.7,9694.8,4878.7,4878.7,3111.25
2025-03-21 08:45:00,18.0,6469.0,10420.1,5281.0,5281.0,3195.65
2025-03-21 09:00:00,19.0,7723.2,8707.1,5659.79,5659.79,4190.18
2025-03-21 09:15:00,19.0,8360.8,8292.8,6179.85,6179.85,4516.23
2025-03-21 09:30:00,20.0,7579.1,8720.3,6139.47,6139.47,4440.18
2025-03-21 09:45:00,20.0,7268.1,9775.7,5977.69,5977.69,3750.2
2025-03-21 10:00:00,21.0,7011.6,11157.5,5724.1,5724.1,3336.72
2025-03-21 10:15:00,21.0,6831.0,12330.6,5594.9,5594.9,3195.46
2025-03-21 10:30:00,22.0,7115.6,11695.0,5820.5,5820.5,3415.87
2025-03-21 10:45:00,22.0,7262.6,12351.9,6014.7,6014.7,3336.46
2025-03-21 11:00:00,23.0,7325.8,12647.9,6054.0,6054.0,3301.33
2025-03-21 11:15:00,23.0,7189.8,13182.4,6134.7,6134.7,3111.82
2025-03-21 11:30:00,24.0,7541.9,13393.2,6443.4,6443.4,3111.2
2025-03-21 11:45:00,24.0,7360.9,13957.6,6428.4,6428.4,2999.64
2025-03-21 12:00:00,25.0,8010.7,14971.0,7085.27,7085.27,3102.69
2025-03-21 12:15:00,25.0,8114.9,14979.0,7210.9,7210.9,3138.84
2025-03-21 12:30:00,26.0,8593.9,15858.2,7420.75,7420.75,3000.05
2025-03-21 12:45:00,26.0,8466.8,16636.4,7672.91,7672.91,2990.25
2025-03-21 13:00:00,27.0,6642.0,17497.4,6455.2,6455.2,1799.45
2025-03-21 13:15:00,27.0,6769.9,18055.9,6582.9,6582.9,1799.81
2025-03-21 13:30:00,28.0,7415.3,16919.4,7167.51,7167.51,2240.26
2025-03-21 13:45:00,28.0,8054.8,17037.7,7531.8,7531.8,2750.11
2025-03-21 14:00:00,29.0,8329.8,17404.4,7639.69,7639.69,2800.2
2025-03-21 14:15:00,29.0,8800.6,16610.2,7633.6,7633.6,2849.82
2025-03-21 14:30:00,30.0,8029.5,16541.8,7416.6,7416.6,2539.32
