Datetime,Session ID,Purchase Bid (MW),Sell Bid (MW),MCV (MW),Final Scheduled Volume (MW),MCP (Rs/MWh) *
2025-03-03 00:00:00,1.0,4548.4,6561.8,2558.72,2558.72,3900.03
2025-03-03 00:15:00,1.0,4967.9,6383.1,2489.7,2489.7,3990.77
2025-03-03 00:30:00,2.0,4546.8,6735.4,2460.8,2460.8,3714.48
2025-03-03 00:45:00,2.0,4675.4,7149.0,2526.3,2526.3,3714.51
2025-03-03 01:00:00,3.0,4017.0,7699.9,2311.91,2311.91,3470.28
2025-03-03 01:15:00,3.0,4076.7,7415.2,2211.6,2211.6,3519.93
2025-03-03 01:30:00,4.0,3932.4,7117.3,2507.5,2507.5,3573.29
2025-03-03 01:45:00,4.0,3903.5,7230.3,2417.6,2417.6,3499.73
2025-03-03 02:00:00,5.0,3863.5,7692.3,2382.1,2382.1,3499.16
2025-03-03 02:15:00,5.0,3862.5,7705.1,2481.5,2481.5,3499.31
2025-03-03 02:30:00,6.0,3897.7,7719.7,2448.44,2448.44,3250.77
2025-03-03 02:45:00,6.0,3719.7,7710.6,2515.9,2515.9,3195.82
2025-03-03 03:00:00,7.0,3866.3,8223.0,2668.6,2668.6,3195.38
2025-03-03 03:15:00,7.0,3832.5,8230.9,2637.9,2637.9,3195.47
2025-03-03 03:30:00,8.0,4032.0,8427.6,2839.9,2839.9,3138.69
2025-03-03 03:45:00,8.0,4151.4,8059.4,2955.9,2955.9,3195.11
2025-03-03 04:00:00,9.0,4621.0,8266.9,3288.6,3288.6,3401.4
2025-03-03 04:15:00,9.0,5170.9,8175.3,3509.6,3509.6,3524.52
2025-03-03 04:30:00,10.0,5531.3,7802.0,3806.31,3806.31,3582.12
2025-03-03 04:45:00,10.0,5942.1,7425.1,4029.8,4029.8,3999.53
2025-03-03 05:00:00,11.0,5920.5,7134.6,4016.7,4016.7,3999.04
2025-03-03 05:15:00,11.0,6452.6,5866.9,4336.86,4336.86,4519.63
2025-03-03 05:30:00,12.0,7367.8,5895.8,4983.94,4983.94,5000.93
2025-03-03 05:45:00,12.0,7636.3,4917.1,4405.6,4405.6,5999.04
2025-03-03 06:00:00,13.0,5982.7,4734.2,4260.7,4260.7,5180.63
2025-03-03 06:15:00,13.0,7225.6,3907.2,3614.69,3614.69,6530.22
2025-03-03 06:30:00,14.0,7206.9,3455.7,3455.7,3455.7,10000.0
2025-03-03 06:45:00,14.0,7786.7,3114.3,3114.28,3114.28,10000.0
2025-03-03 07:00:00,15.0,12456.5,2795.1,2795.09,2795.09,10000.0
2025-03-03 07:15:00,15.0,14241.0,2518.9,2518.9,2518.9,10000.0
2025-03-03 07:30:00,16.0,15247.5,2342.3,2342.3,2342.3,10000.0
2025-03-03 07:45:00,16.0,12407.7,2510.1,2510.1,2510.1,10000.0
2025-03-03 08:00:00,17.0,9233.4,3196.8,3196.8,3196.8,10000.0
2025-03-03 08:15:00,17.0,7690.9,4023.3,4023.3,4023.3,10000.0
2025-03-03 08:30:00,18.0,6360.1,5455.5,4359.72,4359.72,5500.63
2025-03-03 08:45:00,18.0,5620.0,6528.7,4373.4,4373.4,4000.72
2025-03-03 09:00:00,19.0,6014.3,6664.5,4700.35,4700.35,4000.51
2025-03-03 09:15:00,19.0,6264.2,7293.3,4864.2,4864.2,3999.51
2025-03-03 09:30:00,20.0,4932.0,7642.0,4285.55,4285.55,3250.95
2025-03-03 09:45:00,20.0,4300.2,7938.1,3902.8,3902.8,3138.53
2025-03-03 10:00:00,21.0,5638.2,9245.9,4465.68,4465.68,3415.2
2025-03-03 10:15:00,21.0,5451.2,9461.7,4100.23,4100.23,3441.19
2025-03-03 10:30:00,22.0,6934.2,9715.0,5081.77,5081.77,3714.3
2025-03-03 10:45:00,22.0,6629.9,9843.6,4849.99,4849.99,3684.39
2025-03-03 11:00:00,23.0,6532.7,10022.3,5008.02,5008.02,3553.72
2025-03-03 11:15:00,23.0,6120.1,10313.9,4876.25,4876.25,3440.49
2025-03-03 11:30:00,24.0,5749.0,11158.6,4764.19,4764.19,3130.95
2025-03-03 11:45:00,24.0,6063.8,11463.6,4953.09,4953.09,3253.91
2025-03-03 12:00:00,25.0,6022.7,12572.0,5158.14,5158.14,3111.5
2025-03-03 12:15:00,25.0,6343.9,13365.3,5499.55,5499.55,3111.25
2025-03-03 12:30:00,26.0,6412.5,13968.3,5856.2,5856.2,2628.57
2025-03-03 12:45:00,26.0,5724.6,13988.6,5567.1,5567.1,2082.0
2025-03-03 13:00:00,27.0,5256.7,14699.2,5226.0,5226.0,1829.64
2025-03-03 13:15:00,27.0,5250.4,15304.8,5219.7,5219.7,1670.8
2025-03-03 13:30:00,28.0,5828.0,15245.0,5678.32,5678.32,2240.74
2025-03-03 13:45:00,28.0,6512.9,15747.3,6196.53,6196.53,2410.16
2025-03-03 14:00:00,29.0,6500.9,15214.4,6153.24,6153.24,2526.13
2025-03-03 14:15:00,29.0,7124.9,14840.0,6166.2,6172.4,2849.59
2025-03-03 14:30:00,30.0,6803.6,13666.9,5801.4,5801.4,2979.47
2025-03-03 14:45:00,30.0,6690.1,13210.2,5612.5,5602.9,2944.79
2025-03-03 15:00:00,31.0,6130.1,11938.2,5106.91,5106.91,3111.97
2025-03-03 15:15:00,31.0,6467.0,10860.5,4929.8,4929.8,3396.49
2025-03-03 15:30:00,32.0,5621.2,9800.1,4451.4,4451.4,3415.97
2025-03-03 15:45:00,32.0,6013.5,9641.2,4760.8,4760.8,3415.12
2025-03-03 16:00:00,33.0,5484.8,9003.2,4639.47,4639.47,3100.07
2025-03-03 16:15:00,33.0,5282.8,7288.8,3986.72,3986.72,3500.25
2025-03-03 16:30:00,34.0,6522.4,6160.4,4149.1,4149.1,3999.22
