Datetime,Session ID,Purchase Bid (MW),Sell Bid (MW),MCV (MW),Final Scheduled Volume (MW),MCP (Rs/MWh) *
2025-03-08 00:00:00,1.0,5380.8,5199.2,2906.81,2906.81,4219.78
2025-03-08 00:15:00,1.0,5260.2,5575.9,2801.23,2801.23,4019.49
2025-03-08 00:30:00,2.0,4885.7,5711.5,2584.36,2584.36,4010.44
2025-03-08 00:45:00,2.0,4621.6,6190.3,2437.9,2437.9,3990.02
2025-03-08 01:00:00,3.0,4368.4,6547.3,2526.9,2526.9,3615.5
2025-03-08 01:15:00,3.0,4389.0,6294.5,2474.01,2474.01,3752.43
2025-03-08 01:30:00,4.0,4270.6,6917.1,2622.68,2622.68,3435.08
2025-03-08 01:45:00,4.0,4183.6,7247.7,2761.81,2761.81,3200.94
2025-03-08 02:00:00,5.0,5082.0,7297.8,3081.97,3081.97,3582.67
2025-03-08 02:15:00,5.0,5259.5,7345.4,3182.6,3182.6,3623.98
2025-03-08 02:30:00,6.0,5020.9,7524.0,3242.2,3242.2,3573.26
2025-03-08 02:45:00,6.0,5202.7,7203.1,3296.82,3296.82,3596.68
2025-03-08 03:00:00,7.0,4557.4,7241.3,2931.0,2931.0,3526.78
2025-03-08 03:15:00,7.0,4331.5,7241.1,2842.86,2842.86,3470.25
2025-03-08 03:30:00,8.0,4722.3,7280.1,3059.5,3059.5,3573.76
2025-03-08 03:45:00,8.0,4899.5,7151.6,3160.9,3160.9,3615.96
2025-03-08 04:00:00,9.0,4972.7,7025.7,3211.91,3211.91,3800.4
2025-03-08 04:15:00,9.0,5471.8,6809.7,3687.2,3687.2,4019.85
2025-03-08 04:30:00,10.0,5803.0,6262.1,4129.9,4129.9,4401.27
2025-03-08 04:45:00,10.0,6019.6,6469.8,4327.5,4327.5,4377.29
2025-03-08 05:00:00,11.0,6933.5,6501.4,4958.6,4958.6,4540.4
2025-03-08 05:15:00,11.0,7628.8,6298.5,5394.96,5394.96,4850.25
2025-03-08 05:30:00,12.0,8061.4,6556.0,5652.37,5652.37,4673.39
2025-03-08 05:45:00,12.0,9137.1,7164.5,6429.9,6429.9,5200.14
2025-03-08 06:00:00,13.0,8036.2,7324.4,6366.5,6366.5,4510.29
2025-03-08 06:15:00,13.0,8214.3,5680.9,5445.7,5445.7,6499.5
2025-03-08 06:30:00,14.0,6925.9,4409.0,4270.1,4270.1,6305.53
2025-03-08 06:45:00,14.0,7741.4,3941.7,3924.8,3924.8,9500.09
2025-03-08 07:00:00,15.0,6967.2,3974.8,3926.3,3926.3,6699.53
2025-03-08 07:15:00,15.0,6726.6,3888.3,3730.81,3730.81,6349.35
2025-03-08 07:30:00,16.0,5318.8,4123.9,3648.86,3648.86,4577.01
2025-03-08 07:45:00,16.0,4934.4,4972.9,3752.87,3752.87,4010.92
2025-03-08 08:00:00,17.0,6190.7,6183.1,4780.08,4780.08,4260.18
2025-03-08 08:15:00,17.0,6926.3,7081.6,5416.7,5416.7,4499.57
2025-03-08 08:30:00,18.0,6073.6,7186.4,4941.12,4941.12,3750.36
2025-03-08 08:45:00,18.0,6312.2,8811.1,5754.6,5754.6,3499.74
2025-03-08 09:00:00,19.0,6221.6,8896.8,5520.07,5520.07,3470.46
2025-03-08 09:15:00,19.0,6621.1,8791.0,5709.34,5709.34,3582.35
2025-03-08 09:30:00,20.0,6417.7,8560.5,5534.75,5534.75,3720.47
2025-03-08 09:45:00,20.0,6747.5,9252.0,6014.26,6014.26,3582.6
2025-03-08 10:00:00,21.0,7218.0,10256.7,5943.2,5943.2,3573.8
2025-03-08 10:15:00,21.0,7523.0,10614.0,6126.92,6126.92,3620.21
2025-03-08 10:30:00,22.0,6323.4,10364.3,5265.7,5265.7,3441.16
