Datetime,Purchase Bid (MW),Sell Bid (MW),MCV (MW),Final Scheduled Volume (MW),MCP (Rs/MWh) *
2025-03-31 00:00:00,13291.7,9343.1,6385.4,6385.4,4368.51
2025-03-31 00:00:00,13291.7,9343.1,6385.4,6385.4,4368.51
2025-03-31 00:15:00,13273.1,9721.7,6419.6,6419.6,4209.72
2025-03-31 00:15:00,13273.1,9721.7,6419.6,6419.6,4209.72
2025-03-31 00:30:00,13571.3,10115.2,6727.4,6727.4,4209.54
2025-03-31 00:30:00,13571.3,10115.2,6727.4,6727.4,4209.54
2025-03-31 00:45:00,13659.8,10232.9,6820.1,6820.1,4368.02
2025-03-31 00:45:00,13659.8,10232.9,6820.1,6820.1,4368.02
2025-03-31 01:00:00,13675.7,10321.1,6964.8,6964.8,4368.26
2025-03-31 01:00:00,13675.7,10321.1,6964.8,6964.8,4368.26
2025-03-31 01:15:00,13746.9,10410.9,7022.1,7022.1,4368.31
2025-03-31 01:15:00,13746.9,10410.9,7022.1,7022.1,4368.31
2025-03-31 01:30:00,13569.2,10641.9,6877.4,6877.4,4209.59
2025-03-31 01:30:00,13569.2,10641.9,6877.4,6877.4,4209.59
2025-03-31 01:45:00,13290.1,11392.1,6720.2,6720.2,3999.9
2025-03-31 01:45:00,13290.1,11392.1,6720.2,6720.2,3999.9
2025-03-31 02:00:00,12845.9,11472.5,6744.1,6744.1,4012.65
2025-03-31 02:00:00,12845.9,11472.5,6744.1,6744.1,4012.65
2025-03-31 02:15:00,12838.9,11625.8,6775.4,6775.4,3999.88
2025-03-31 02:15:00,12838.9,11625.8,6775.4,6775.4,3999.88
2025-03-31 02:30:00,12946.4,11332.4,6885.6,6885.6,3999.88
2025-03-31 02:30:00,12946.4,11332.4,6885.6,6885.6,3999.88
2025-03-31 02:45:00,12883.8,11613.3,6829.6,6829.6,3999.63
2025-03-31 02:45:00,12883.8,11613.3,6829.6,6829.6,3999.63
2025-03-31 03:00:00,12916.6,11781.9,6863.9,6863.9,3999.47
2025-03-31 03:00:00,12916.6,11781.9,6863.9,6863.9,3999.47
2025-03-31 03:15:00,12908.7,11881.1,6861.5,6861.5,3999.41
2025-03-31 03:15:00,12908.7,11881.1,6861.5,6861.5,3999.41
2025-03-31 03:30:00,12793.8,12006.1,6783.9,6783.9,3999.0
2025-03-31 03:30:00,12793.8,12006.1,6783.9,6783.9,3999.0
2025-03-31 03:45:00,12884.8,12037.0,6837.4,6837.4,3999.08
2025-03-31 03:45:00,12884.8,12037.0,6837.4,6837.4,3999.08
2025-03-31 04:00:00,12724.2,11828.4,6683.6,6683.6,3750.6
2025-03-31 04:00:00,12724.2,11828.4,6683.6,6683.6,3750.6
2025-03-31 04:15:00,12841.4,11546.7,6747.1,6747.1,3999.26
2025-03-31 04:15:00,12841.4,11546.7,6747.1,6747.1,3999.26
2025-03-31 04:30:00,13037.3,11119.0,6923.4,6923.4,3999.93
2025-03-31 04:30:00,13037.3,11119.0,6923.4,6923.4,3999.93
2025-03-31 04:45:00,13195.6,10800.2,7056.5,7056.5,4139.34
2025-03-31 04:45:00,13195.6,10800.2,7056.5,7056.5,4139.34
2025-03-31 05:00:00,12771.8,9945.7,6500.4,6500.4,4139.15
2025-03-31 05:00:00,12771.8,9945.7,6500.4,6500.4,4139.15
2025-03-31 05:15:00,12641.5,9543.2,6360.9,6360.9,4209.0
2025-03-31 05:15:00,12641.5,9543.2,6360.9,6360.9,4209.0
2025-03-31 05:30:00,12628.5,9249.5,6388.0,6388.0,4139.92
2025-03-31 05:30:00,12628.5,9249.5,6388.0,6388.0,4139.92
2025-03-31 05:45:00,12671.0,8759.1,6329.8,6329.8,4450.17
2025-03-31 05:45:00,12671.0,8759.1,6329.8,6329.8,4450.17
2025-03-31 06:00:00,12880.8,9279.2,7070.4,7070.4,4899.39
2025-03-31 06:00:00,12880.8,9279.2,7070.4,7070.4,4899.39
2025-03-31 06:15:00,13388.1,8248.5,7142.32,7142.32,5999.74
2025-03-31 06:15:00,13388.1,8248.5,7142.32,7142.32,5999.74
2025-03-31 06:30:00,13257.8,8676.2,7305.79,7305.79,5200.26
2025-03-31 06:30:00,13257.8,8676.2,7305.79,7305.79,5200.26
2025-03-31 06:45:00,12821.8,8481.2,6986.1,6986.1,4899.7
2025-03-31 06:45:00,12821.8,8481.2,6986.1,6986.1,4899.7
2025-03-31 07:00:00,12260.5,9257.2,7086.8,7086.8,4338.58
2025-03-31 07:00:00,12260.5,9257.2,7086.8,7086.8,4338.58
2025-03-31 07:15:00,11828.5,9728.6,6603.6,6603.6,4139.02
2025-03-31 07:15:00,11828.5,9728.6,6603.6,6603.6,4139.02
2025-03-31 07:30:00,11224.3,10543.9,6764.8,6764.8,3529.99
2025-03-31 07:30:00,11224.3,10543.9,6764.8,6764.8,3529.99
2025-03-31 07:45:00,10910.3,11556.1,6761.0,6761.0,3399.12
2025-03-31 07:45:00,10910.3,11556.1,6761.0,6761.0,3399.12
2025-03-31 08:00:00,10232.3,14802.4,6575.6,6575.6,2600.33
2025-03-31 08:00:00,10232.3,14802.4,6575.6,6575.6,2600.33
2025-03-31 08:15:00,9969.2,16161.8,7080.7,7080.7,2580.76
2025-03-31 08:15:00,9969.2,16161.8,7080.7,7080.7,2580.76
2025-03-31 08:30:00,10868.8,17630.4,7080.6,7080.6,2800.75
2025-03-31 08:30:00,10868.8,17630.4,7080.6,7080.6,2800.75
2025-03-31 08:45:00,10435.2,18838.1,7350.3,7350.3,2590.52
2025-03-31 08:45:00,10435.2,18838.1,7350.3,7350.3,2590.52
2025-03-31 09:00:00,11701.4,20099.6,8078.2,8078.2,2899.19
2025-03-31 09:00:00,11701.4,20099.6,8078.2,8078.2,2899.19
2025-03-31 09:15:00,11358.3,21256.9,7735.1,7735.1,2799.29
2025-03-31 09:15:00,11358.3,21256.9,7735.1,7735.1,2799.29
2025-03-31 09:30:00,11171.4,22849.2,7861.5,7861.5,2590.72
2025-03-31 09:30:00,11171.4,22849.2,7861.5,7861.5,2590.72
2025-03-31 09:45:00,10829.7,24703.8,8071.8,8071.8,2580.66
2025-03-31 09:45:00,10829.7,24703.8,8071.8,8071.8,2580.66
2025-03-31 10:00:00,10203.1,26071.2,8412.1,8412.1,2499.05
2025-03-31 10:00:00,10203.1,26071.2,8412.1,8412.1,2499.05
2025-03-31 10:15:00,10089.2,27134.2,8561.9,8561.9,2299.49
2025-03-31 10:15:00,10089.2,27134.2,8561.9,8561.9,2299.49
2025-03-31 10:30:00,10285.8,28127.6,8651.47,8651.47,2470.38
2025-03-31 10:30:00,10285.8,28127.6,8651.47,8651.47,2470.38
2025-03-31 10:45:00,10210.0,29425.1,8649.7,8649.7,2399.3
2025-03-31 10:45:00,10210.0,29425.1,8649.7,8649.7,2399.3
2025-03-31 11:00:00,10391.1,31047.2,8891.83,8891.83,2370.1
2025-03-31 11:00:00,10391.1,31047.2,8891.83,8891.83,2370.1
2025-03-31 11:15:00,10467.3,32290.1,9058.39,9058.39,2110.67
2025-03-31 11:15:00,10467.3,32290.1,9058.39,9058.39,2110.67
2025-03-31 11:30:00,10512.4,32787.7,9133.4,9133.4,2051.04
2025-03-31 11:30:00,10512.4,32787.7,9133.4,9133.4,2051.04
2025-03-31 11:45:00,10484.8,33189.2,9105.8,9105.8,2012.35
2025-03-31 11:45:00,10484.8,33189.2,9105.8,9105.8,2012.35
2025-03-31 12:00:00,9927.2,33595.4,8790.2,8790.2,1948.99
2025-03-31 12:00:00,9927.2,33595.4,8790.2,8790.2,1948.99
2025-03-31 12:15:00,10013.7,34182.4,8876.7,8876.7,1948.72
2025-03-31 12:15:00,10013.7,34182.4,8876.7,8876.7,1948.72
2025-03-31 12:30:00,9872.9,34984.6,8735.9,8735.9,1948.36
2025-03-31 12:30:00,9872.9,34984.6,8735.9,8735.9,1948.36
2025-03-31 12:45:00,10011.0,35783.6,8874.1,8874.1,1948.34
2025-03-31 12:45:00,10011.0,35783.6,8874.1,8874.1,1948.34
2025-03-31 13:00:00,10091.3,36849.1,8954.3,8954.3,1948.08
2025-03-31 13:00:00,10091.3,36849.1,8954.3,8954.3,1948.08
2025-03-31 13:15:00,10141.1,37154.6,9003.9,9003.9,1948.03
2025-03-31 13:15:00,10141.1,37154.6,9003.9,9003.9,1948.03
2025-03-31 13:30:00,10295.5,37250.5,9058.3,9058.3,1948.05
2025-03-31 13:30:00,10295.5,37250.5,9058.3,9058.3,1948.05
2025-03-31 13:45:00,10448.3,37160.3,9211.1,9211.1,1948.22
2025-03-31 13:45:00,10448.3,37160.3,9211.1,9211.1,1948.22
2025-03-31 14:00:00,11357.3,34990.2,10117.4,10117.4,1989.06
2025-03-31 14:00:00,11357.3,34990.2,10117.4,10117.4,1989.06
2025-03-31 14:15:00,11920.1,34358.8,10597.5,10597.5,2117.17
2025-03-31 14:15:00,11920.1,34358.8,10597.5,10597.5,2117.17
2025-03-31 14:30:00,12990.8,32327.9,11743.8,11743.8,2198.5
2025-03-31 14:30:00,12990.8,32327.9,11743.8,11743.8,2198.5
2025-03-31 14:45:00,13476.6,31843.0,12152.9,12152.9,2399.4
2025-03-31 14:45:00,13476.6,31843.0,12152.9,12152.9,2399.4
2025-03-31 15:00:00,14160.5,31137.0,11740.63,11740.63,2580.52
2025-03-31 15:00:00,14160.5,31137.0,11740.63,11740.63,2580.52
2025-03-31 15:15:00,14778.3,30449.5,11351.12,11351.12,2620.71
2025-03-31 15:15:00,14778.3,30449.5,11351.12,11351.12,2620.71
2025-03-31 15:30:00,15278.3,29442.5,11636.3,11636.3,2799.4
2025-03-31 15:30:00,15278.3,29442.5,11636.3,11636.3,2799.4
2025-03-31 15:45:00,16278.7,27856.2,12486.7,12486.7,2918.07
2025-03-31 15:45:00,16278.7,27856.2,12486.7,12486.7,2918.07
2025-03-31 16:00:00,16305.8,24505.0,11984.4,11984.4,3179.25
2025-03-31 16:00:00,16305.8,24505.0,11984.4,11984.4,3179.25
2025-03-31 16:15:00,16584.0,22809.0,11935.7,11935.7,3330.38
2025-03-31 16:15:00,16584.0,22809.0,11935.7,11935.7,3330.38
2025-03-31 16:30:00,16073.6,19020.5,11004.1,11004.1,3529.05
2025-03-31 16:30:00,16073.6,19020.5,11004.1,11004.1,3529.05
2025-03-31 16:45:00,15956.0,17075.2,10612.77,10612.77,3573.04
2025-03-31 16:45:00,15956.0,17075.2,10612.77,10612.77,3573.04
2025-03-31 17:00:00,14630.0,15649.1,9156.92,9156.92,3529.4
2025-03-31 17:00:00,14630.0,15649.1,9156.92,9156.92,3529.4
2025-03-31 17:15:00,14246.4,13982.8,8723.66,8723.66,3534.03
2025-03-31 17:15:00,14246.4,13982.8,8723.66,8723.66,3534.03
2025-03-31 17:30:00,15510.2,12418.2,9641.4,9641.4,4139.57
2025-03-31 17:30:00,15510.2,12418.2,9641.4,9641.4,4139.57
2025-03-31 17:45:00,15676.9,10684.8,9213.7,9213.7,5000.25
2025-03-31 17:45:00,15676.9,10684.8,9213.7,9213.7,5000.25
2025-03-31 18:00:00,14528.1,10402.7,8541.19,8541.19,4549.6
2025-03-31 18:00:00,14528.1,10402.7,8541.19,8541.19,4549.6
2025-03-31 18:15:00,14677.2,9139.8,8269.34,8269.34,5199.85
2025-03-31 18:15:00,14677.2,9139.8,8269.34,8269.34,5199.85
2025-03-31 18:30:00,15139.4,7967.7,7407.4,7407.4,6099.51
2025-03-31 18:30:00,15139.4,7967.7,7407.4,7407.4,6099.51
2025-03-31 18:45:00,15183.1,6756.0,6736.19,6736.19,10000.0
2025-03-31 18:45:00,15183.1,6756.0,6736.19,6736.19,10000.0
2025-03-31 19:00:00,17290.5,6246.8,6246.8,6246.8,10000.0
2025-03-31 19:00:00,17290.5,6246.8,6246.8,6246.8,10000.0
2025-03-31 19:15:00,17365.0,6127.1,6127.1,6127.1,10000.0
2025-03-31 19:15:00,17365.0,6127.1,6127.1,6127.1,10000.0
2025-03-31 19:30:00,16980.0,6346.3,6346.3,6346.3,10000.0
2025-03-31 19:30:00,16980.0,6346.3,6346.3,6346.3,10000.0
2025-03-31 19:45:00,16653.8,6288.7,6288.7,6288.7,10000.0
2025-03-31 19:45:00,16653.8,6288.7,6288.7,6288.7,10000.0
2025-03-31 20:00:00,15337.6,6268.3,6268.28,6268.28,10000.0
2025-03-31 20:00:00,15337.6,6268.3,6268.28,6268.28,10000.0
2025-03-31 20:15:00,15082.2,6112.0,6111.99,6111.99,10000.0
2025-03-31 20:15:00,15082.2,6112.0,6111.99,6111.99,10000.0
2025-03-31 20:30:00,14818.4,6160.1,6160.1,6160.1,10000.0
2025-03-31 20:30:00,14818.4,6160.1,6160.1,6160.1,10000.0
2025-03-31 20:45:00,14599.2,6247.9,6247.9,6247.9,10000.0
2025-03-31 20:45:00,14599.2,6247.9,6247.9,6247.9,10000.0
