Datetime,Session ID,Purchase Bid (MW),Sell Bid (MW),MCV (MW),Final Scheduled Volume (MW),MCP (Rs/MWh) *
2025-03-28 00:00:00,1.0,8992.1,4801.7,4801.7,4801.7,10000.0
2025-03-28 00:15:00,1.0,8960.2,5110.3,5110.3,5110.3,10000.0
2025-03-28 00:30:00,2.0,8309.0,5432.7,5432.7,5432.7,10000.0
2025-03-28 00:45:00,2.0,8226.9,5697.5,5537.9,5537.9,9999.47
2025-03-28 01:00:00,3.0,7506.8,5631.7,4862.31,4862.31,8999.57
2025-03-28 01:15:00,3.0,7257.0,6233.0,4613.22,4613.22,7999.5
2025-03-28 01:30:00,4.0,7005.3,5806.6,4338.43,4338.43,6999.58
2025-03-28 01:45:00,4.0,7091.4,6235.3,4439.13,4439.13,6999.02
2025-03-28 02:00:00,5.0,6086.3,7021.8,3931.7,3931.7,4000.45
2025-03-28 02:15:00,5.0,5942.0,7369.7,3898.92,3898.92,3667.01
2025-03-28 02:30:00,6.0,6383.0,6315.5,3883.3,3883.3,4160.45
2025-03-28 02:45:00,6.0,6329.4,6724.0,4048.15,4048.15,3615.87
2025-03-28 03:00:00,7.0,5366.4,5714.9,3263.56,3263.56,3667.56
2025-03-28 03:15:00,7.0,5376.1,5901.4,3294.9,3294.9,3644.59
2025-03-28 03:30:00,8.0,5188.5,5847.5,3099.64,3099.64,3564.22
2025-03-28 03:45:00,8.0,5256.8,6123.9,3292.28,3292.28,3499.44
2025-03-28 04:00:00,9.0,5250.7,5931.0,3252.3,3252.3,3564.24
2025-03-28 04:15:00,9.0,6167.0,6165.7,3649.4,3649.4,4200.02
2025-03-28 04:30:00,10.0,6040.9,6142.4,3723.94,3723.94,3729.24
2025-03-28 04:45:00,10.0,6584.4,6213.9,3988.8,3988.8,4499.0
2025-03-28 05:00:00,11.0,6247.7,6084.6,4417.71,4417.71,3720.09
2025-03-28 05:15:00,11.0,6657.9,6043.7,4315.2,4315.2,4325.69
2025-03-28 05:30:00,12.0,6467.8,6267.0,4213.5,4213.5,3807.99
2025-03-28 05:45:00,12.0,6299.0,7083.8,4488.1,4488.1,3610.08
2025-03-28 06:00:00,13.0,6056.2,6340.9,4724.5,4724.5,3784.82
2025-03-28 06:15:00,13.0,6453.3,5554.5,4288.37,4288.37,4501.44
2025-03-28 06:30:00,14.0,6215.3,5306.8,4005.32,4005.32,4499.85
2025-03-28 06:45:00,14.0,6258.6,4972.5,3783.0,3783.0,4700.58
2025-03-28 07:00:00,15.0,6538.7,5422.5,4160.22,4160.22,4763.18
2025-03-28 07:15:00,15.0,6191.0,6321.4,4362.11,4362.11,4481.87
2025-03-28 07:30:00,16.0,5000.2,6947.3,4212.01,4212.01,3573.94
2025-03-28 07:45:00,16.0,4442.4,7699.0,4034.3,4034.3,3195.1
