Datetime,Session ID,Purchase Bid (MW),Sell Bid (MW),MCV (MW),Final Scheduled Volume (MW),MCP (Rs/MWh) *
2025-03-26 00:00:00,1.0,5711.8,4211.1,2933.37,2933.37,4516.06
2025-03-26 00:15:00,1.0,5571.2,4418.3,2964.27,2964.27,4500.53
2025-03-26 00:30:00,2.0,5242.0,4001.8,2352.99,2352.99,4499.08
2025-03-26 00:45:00,2.0,4811.4,4369.3,2249.8,2249.8,4000.1
2025-03-26 01:00:00,3.0,5246.0,4646.3,2814.38,2814.38,4499.78
2025-03-26 01:15:00,3.0,5326.7,4705.6,2902.37,2902.37,4516.26
2025-03-26 01:30:00,4.0,5248.5,4816.7,2871.1,2871.1,4500.42
2025-03-26 01:45:00,4.0,5444.9,4815.3,2899.7,2899.7,4506.16
2025-03-26 02:00:00,5.0,5039.9,4791.9,2922.48,2922.48,4499.77
2025-03-26 02:15:00,5.0,4749.8,4667.9,2633.12,2633.12,4481.38
2025-03-26 02:30:00,6.0,4548.6,4907.7,2405.72,2405.72,3849.81
2025-03-26 02:45:00,6.0,4434.9,5001.8,2456.92,2456.92,3615.87
2025-03-26 03:00:00,7.0,4337.1,5511.4,2706.6,2706.6,3441.57
2025-03-26 03:15:00,7.0,4254.1,5548.0,2672.2,2672.2,3415.97
2025-03-26 03:30:00,8.0,4838.5,5549.3,2725.7,2725.7,3600.11
2025-03-26 03:45:00,8.0,5398.0,5579.8,2935.07,2935.07,3693.48
2025-03-26 04:00:00,9.0,4811.6,4905.1,2447.92,2447.92,3951.04
2025-03-26 04:15:00,9.0,5057.3,5163.3,2714.65,2714.65,3917.68
2025-03-26 04:30:00,10.0,4570.1,5334.5,2821.41,2821.41,3600.67
2025-03-26 04:45:00,10.0,4694.4,5188.7,2909.29,2909.29,3644.2
2025-03-26 05:00:00,11.0,4501.0,5088.1,2942.35,2942.35,3700.04
2025-03-26 05:15:00,11.0,4812.2,4553.6,3013.65,3013.65,3917.35
2025-03-26 05:30:00,12.0,5555.7,4641.9,3364.01,3364.01,4481.97
2025-03-26 05:45:00,12.0,5653.2,4349.0,3346.21,3346.21,4650.11
2025-03-26 06:00:00,13.0,5699.7,4286.8,3432.5,3432.5,5089.21
