Datetime,Purchase Bid (MW),Sell Bid (MW),MCV (MW),Final Scheduled Volume (MW),MCP (Rs/MWh) *
2025-03-13 00:00:00,13514.6,9958.7,6258.5,6258.5,4139.33
2025-03-13 00:00:00,13514.6,9958.7,6258.5,6258.5,4139.33
2025-03-13 00:15:00,13856.4,9972.0,6555.5,6555.5,4210.24
2025-03-13 00:15:00,13856.4,9972.0,6555.5,6555.5,4210.24
2025-03-13 00:30:00,14267.9,10218.1,6840.5,6840.5,4339.61
2025-03-13 00:30:00,14267.9,10218.1,6840.5,6840.5,4339.61
2025-03-13 00:45:00,14473.7,10492.4,7070.2,7070.2,4499.14
2025-03-13 00:45:00,14473.7,10492.4,7070.2,7070.2,4499.14
2025-03-13 01:00:00,14402.5,10496.7,7034.5,7034.5,4339.94
2025-03-13 01:00:00,14402.5,10496.7,7034.5,7034.5,4339.94
2025-03-13 01:15:00,14266.9,10690.2,7018.2,7018.2,4210.58
2025-03-13 01:15:00,14266.9,10690.2,7018.2,7018.2,4210.58
2025-03-13 01:30:00,14260.8,10730.7,7049.1,7049.1,4210.51
2025-03-13 01:30:00,14260.8,10730.7,7049.1,7049.1,4210.51
2025-03-13 01:45:00,14091.8,10959.5,7109.5,7109.5,4200.56
2025-03-13 01:45:00,14091.8,10959.5,7109.5,7109.5,4200.56
2025-03-13 02:00:00,13872.3,11115.8,7009.4,7009.4,4139.25
2025-03-13 02:00:00,13872.3,11115.8,7009.4,7009.4,4139.25
2025-03-13 02:15:00,13827.5,11209.8,6964.2,6964.2,4139.54
2025-03-13 02:15:00,13827.5,11209.8,6964.2,6964.2,4139.54
2025-03-13 02:30:00,13613.2,11017.7,6750.1,6750.1,4139.49
2025-03-13 02:30:00,13613.2,11017.7,6750.1,6750.1,4139.49
2025-03-13 02:45:00,13556.1,10826.1,6727.9,6727.9,4139.51
2025-03-13 02:45:00,13556.1,10826.1,6727.9,6727.9,4139.51
2025-03-13 03:00:00,12932.4,10802.6,6391.7,6391.7,4000.77
2025-03-13 03:00:00,12932.4,10802.6,6391.7,6391.7,4000.77
2025-03-13 03:15:00,12941.5,10648.9,6458.8,6458.8,3999.89
2025-03-13 03:15:00,12941.5,10648.9,6458.8,6458.8,3999.89
2025-03-13 03:30:00,12881.3,10728.8,6397.6,6397.6,3999.47
2025-03-13 03:30:00,12881.3,10728.8,6397.6,6397.6,3999.47
2025-03-13 03:45:00,13023.9,10825.9,6448.1,6448.1,4012.19
2025-03-13 03:45:00,13023.9,10825.9,6448.1,6448.1,4012.19
2025-03-13 04:00:00,13295.1,10794.1,6716.3,6716.3,4012.13
2025-03-13 04:00:00,13295.1,10794.1,6716.3,6716.3,4012.13
2025-03-13 04:15:00,13363.5,10604.4,6844.2,6844.2,3999.4
2025-03-13 04:15:00,13363.5,10604.4,6844.2,6844.2,3999.4
2025-03-13 04:30:00,13701.1,10548.1,7034.2,7034.2,4109.63
2025-03-13 04:30:00,13701.1,10548.1,7034.2,7034.2,4109.63
2025-03-13 04:45:00,13740.1,10596.0,7083.9,7083.9,4109.68
2025-03-13 04:45:00,13740.1,10596.0,7083.9,7083.9,4109.68
2025-03-13 05:00:00,14204.9,10380.6,7517.4,7517.4,4139.8
2025-03-13 05:00:00,14204.9,10380.6,7517.4,7517.4,4139.8
2025-03-13 05:15:00,15428.7,10111.7,8379.2,8379.2,4577.3
2025-03-13 05:15:00,15428.7,10111.7,8379.2,8379.2,4577.3
2025-03-13 05:30:00,15507.7,9527.6,8209.6,8209.6,4577.45
2025-03-13 05:30:00,15507.7,9527.6,8209.6,8209.6,4577.45
2025-03-13 05:45:00,16157.7,9413.2,8715.35,8715.35,5499.28
2025-03-13 05:45:00,16157.7,9413.2,8715.35,8715.35,5499.28
2025-03-13 06:00:00,16207.0,9500.8,8698.0,8698.0,5999.01
2025-03-13 06:00:00,16207.0,9500.8,8698.0,8698.0,5999.01
2025-03-13 06:15:00,16507.2,9695.8,8678.0,8678.0,6500.55
2025-03-13 06:15:00,16507.2,9695.8,8678.0,8678.0,6500.55
2025-03-13 06:30:00,17525.1,9622.7,9319.3,9319.3,9400.65
2025-03-13 06:30:00,17525.1,9622.7,9319.3,9319.3,9400.65
2025-03-13 06:45:00,18396.1,9509.7,9425.09,9425.09,10000.0
2025-03-13 06:45:00,18396.1,9509.7,9425.09,9425.09,10000.0
2025-03-13 07:00:00,18401.6,9825.0,9613.9,9613.9,9799.37
2025-03-13 07:00:00,18401.6,9825.0,9613.9,9613.9,9799.37
2025-03-13 07:15:00,18348.1,10052.5,9421.3,9421.3,8569.55
2025-03-13 07:15:00,18348.1,10052.5,9421.3,9421.3,8569.55
2025-03-13 07:30:00,17591.5,10993.4,9435.4,9435.4,6000.75
2025-03-13 07:30:00,17591.5,10993.4,9435.4,9435.4,6000.75
2025-03-13 07:45:00,16345.7,11760.6,9368.8,9368.8,4980.99
2025-03-13 07:45:00,16345.7,11760.6,9368.8,9368.8,4980.99
2025-03-13 08:00:00,15044.0,11755.2,9121.9,9121.9,4109.5
2025-03-13 08:00:00,15044.0,11755.2,9121.9,9121.9,4109.5
2025-03-13 08:15:00,14668.4,12101.1,9068.7,9068.7,3849.91
2025-03-13 08:15:00,14668.4,12101.1,9068.7,9068.7,3849.91
2025-03-13 08:30:00,14612.9,12266.9,9003.8,9003.8,3870.53
2025-03-13 08:30:00,14612.9,12266.9,9003.8,9003.8,3870.53
2025-03-13 08:45:00,13378.3,12615.0,8226.0,8226.0,3529.36
2025-03-13 08:45:00,13378.3,12615.0,8226.0,8226.0,3529.36
2025-03-13 09:00:00,15866.1,12779.6,9687.3,9687.3,4139.22
2025-03-13 09:00:00,15866.1,12779.6,9687.3,9687.3,4139.22
2025-03-13 09:15:00,15894.9,12480.5,9696.1,9696.1,4045.32
2025-03-13 09:15:00,15894.9,12480.5,9696.1,9696.1,4045.32
2025-03-13 09:30:00,16424.6,12852.3,9956.0,9956.0,4299.35
2025-03-13 09:30:00,16424.6,12852.3,9956.0,9956.0,4299.35
2025-03-13 09:45:00,15808.7,13413.7,9979.1,9979.1,3839.47
