Datetime,Session ID,Purchase Bid (MW),Sell Bid (MW),MCV (MW),Final Scheduled Volume (MW),MCP (Rs/MWh) *
2025-03-25 00:00:00,1.0,7104.9,4251.0,4019.65,4019.65,5575.4
2025-03-25 00:15:00,1.0,6997.7,4164.8,3913.28,3913.28,5500.77
2025-03-25 00:30:00,2.0,6129.1,4403.0,3962.3,3962.3,5375.54
2025-03-25 00:45:00,2.0,6005.1,4487.0,3852.63,3852.63,5323.64
2025-03-25 01:00:00,3.0,6068.0,5691.4,4138.27,4138.27,4516.03
2025-03-25 01:15:00,3.0,5346.1,5981.4,3573.6,3573.6,3615.53
2025-03-25 01:30:00,4.0,5583.4,6728.7,3957.4,3957.4,3573.49
2025-03-25 01:45:00,4.0,5797.0,7251.2,4171.0,4171.0,3573.44
2025-03-25 02:00:00,5.0,5693.3,7120.3,3755.2,3755.2,3667.69
2025-03-25 02:15:00,5.0,5569.6,6828.0,3571.15,3571.15,3800.88
2025-03-25 02:30:00,6.0,5459.5,7265.2,3710.4,3710.4,3573.4
2025-03-25 02:45:00,6.0,5445.5,7364.7,3696.3,3696.3,3573.23
2025-03-25 03:00:00,7.0,5471.7,7578.6,3688.65,3688.65,3500.99
2025-03-25 03:15:00,7.0,5459.6,7574.4,3710.0,3710.0,3573.11
2025-03-25 03:30:00,8.0,5690.3,7482.7,3790.9,3790.9,3573.76
2025-03-25 03:45:00,8.0,5816.3,7845.4,3921.24,3921.24,3500.61
2025-03-25 04:00:00,9.0,6209.9,7412.9,4109.4,4109.4,3917.55
2025-03-25 04:15:00,9.0,6549.5,7274.0,4353.4,4353.4,4012.48
2025-03-25 04:30:00,10.0,6531.8,7005.0,4417.1,4417.1,4019.99
2025-03-25 04:45:00,10.0,7104.4,6907.2,4837.21,4837.21,4500.46
2025-03-25 05:00:00,11.0,6381.7,6477.1,4468.69,4468.69,4499.57
2025-03-25 05:15:00,11.0,6987.1,5895.6,4725.79,4725.79,4940.35
2025-03-25 05:30:00,12.0,7159.6,5647.4,4986.66,4986.66,5205.54
2025-03-25 05:45:00,12.0,7394.1,5313.6,4880.97,4880.97,5500.66
2025-03-25 06:00:00,13.0,6310.4,5111.0,4448.9,4448.9,5375.25
