Datetime,Session ID,Purchase Bid (MW),Sell Bid (MW),MCV (MW),Final Scheduled Volume (MW),MCP (Rs/MWh) *
2025-03-24 00:00:00,1.0,4365.9,6748.8,2736.24,2736.24,3470.66
2025-03-24 00:15:00,1.0,4886.8,6735.5,2938.8,2938.8,3693.36
2025-03-24 00:30:00,2.0,4707.9,7320.8,2886.3,2886.3,3573.58
2025-03-24 00:45:00,2.0,4587.3,7853.0,3022.4,3022.4,3432.0
2025-03-24 01:00:00,3.0,4492.8,8112.0,3239.8,3239.8,3195.32
2025-03-24 01:15:00,3.0,4618.0,8522.5,3405.9,3405.9,3077.27
2025-03-24 01:30:00,4.0,4625.3,8391.0,3365.52,3365.52,3200.25
2025-03-24 01:45:00,4.0,4565.0,8707.5,3352.8,3352.8,3074.33
2025-03-24 02:00:00,5.0,4806.3,8410.2,3201.4,3201.4,3401.75
2025-03-24 02:15:00,5.0,5053.1,8534.2,3295.78,3295.78,3310.71
2025-03-24 02:30:00,6.0,4888.6,8598.8,3328.78,3328.78,3310.9
2025-03-24 02:45:00,6.0,5223.2,8663.3,3513.4,3513.4,3441.63
2025-03-24 03:00:00,7.0,5049.3,8458.4,3373.65,3373.65,3470.78
2025-03-24 03:15:00,7.0,5094.4,8507.2,3405.14,3405.14,3500.7
2025-03-24 03:30:00,8.0,5098.3,8473.8,3492.44,3492.44,3470.58
2025-03-24 03:45:00,8.0,5210.8,8686.9,3618.54,3618.54,3470.44
2025-03-24 04:00:00,9.0,5274.2,8539.7,3530.76,3530.76,3435.42
2025-03-24 04:15:00,9.0,5538.7,8346.3,3513.96,3513.96,3500.9
2025-03-24 04:30:00,10.0,4947.6,7955.4,3270.45,3270.45,3470.74
2025-03-24 04:45:00,10.0,4898.8,7974.0,3381.4,3381.4,3351.83
2025-03-24 05:00:00,11.0,4797.0,8076.3,3692.8,3692.8,3336.48
2025-03-24 05:15:00,11.0,4707.1,7657.3,3637.8,3637.8,3300.22
2025-03-24 05:30:00,12.0,4726.9,7378.9,3633.25,3633.25,3470.74
2025-03-24 05:45:00,12.0,4764.9,7700.5,3794.9,3794.9,3401.54
2025-03-24 06:00:00,13.0,4566.2,6785.1,3491.7,3491.7,3615.63
2025-03-24 06:15:00,13.0,4400.4,6190.0,3292.8,3292.8,3693.34
2025-03-24 06:30:00,14.0,3287.3,5315.6,2381.5,2381.5,3609.11
2025-03-24 06:45:00,14.0,3607.5,4602.4,2364.7,2364.7,3979.88
2025-03-24 07:00:00,15.0,3724.7,5568.1,2844.35,2844.35,3500.79
2025-03-24 07:15:00,15.0,3904.1,5973.4,2995.9,2995.9,3573.83
2025-03-24 07:30:00,16.0,4077.9,7233.5,3469.14,3469.14,3290.36
2025-03-24 07:45:00,16.0,3754.7,8109.2,3344.6,3344.6,2779.81
2025-03-24 08:00:00,17.0,3941.8,8888.9,3442.9,3442.9,3111.89
2025-03-24 08:15:00,17.0,3974.8,9804.0,3609.78,3609.78,2550.83
2025-03-24 08:30:00,18.0,5700.3,8517.9,4469.2,4469.2,3599.65
2025-03-24 08:45:00,18.0,5788.5,9329.7,4708.41,4708.41,3582.83
2025-03-24 09:00:00,19.0,5651.9,9245.0,4516.9,4516.9,3569.06
2025-03-24 09:15:00,19.0,5595.0,10368.5,4633.54,4633.54,3470.24
2025-03-24 09:30:00,20.0,5491.1,11512.7,4954.7,4954.7,3059.91
2025-03-24 09:45:00,20.0,5357.1,12457.2,4835.9,4835.9,2944.93
2025-03-24 10:00:00,21.0,5698.2,13787.2,5148.9,5148.9,2649.0
2025-03-24 10:15:00,21.0,5427.9,14024.6,4907.7,4907.7,2649.03
